"","id","interceptlink_identity","slope_link_identity","intercept_link_log","slope_link_log"
"64",84631740,0.0714076438054069,3.19805999936164e-05,-2.58514910714839,0.000315704564375182
"65",84813020,0.469542096068174,-0.000708334356301549,-0.442360587042683,-0.00306160304862754
"66",85989470,-0.301396170703013,0.00168320882944377,-0.0901390967885823,0.000605417436559854
"67",87217965,0.0451346079176837,0.000100960500458407,-2.60322422658387,0.000670154341566149
"68",87994196,-0.6863915000027,0.000553112343578728,-2.75844647605569,0.000965467136933308
"69",88882863,2.37427581946216,-0.000473527041039531,0.916720810044024,-0.000271186551276507
"70",89645558,1.48132153718829,-0.00163963350027274,1.07594316172202,-0.0030872266787899
"71",89661543,0.651808849305848,-0.000121597060187264,0.473328048641625,-0.000561101504636925
"72",89665730,-1.63118133655801,0.000375794825859734,-11.0668153792432,0.0019372476280078
"73",90367888,5.30659624838018,-0.00220702309920494,3.50079775702056,-0.001784878633464
"74",90379916,0.377476120483247,-0.000472418283524174,-0.335435979341018,-0.00326191891325404
"75",90396685,0.0829390235340166,0.000132796175268532,-2.18655717568855,0.000653000379224869
"76",92074368,0.97348784427838,-0.000684744323344095,0.192147904599612,-0.00128591121230951
"77",92785402,3.72326884955377,-0.000544720942261478,1.36464804177534,-0.000197757562178428
"78",95233954,-0.00218761666736876,5.41669236057843e-05,-3.04343608519909,0.000410847714558681
"79",95283934,0.582598881185869,-0.000140701986702741,-0.311366187526578,-0.000445370051095328
"80",97072973,2.29960034135601,-5.45685620559434e-05,0.832893116506596,-2.42152150328989e-05
"81",98286969,0.340262411103908,-0.000179282469695123,-1.03571266862455,-0.000710129244938837
"82",98351953,2.2223360527659,0.00106196344294353,0.884848507133806,0.000300499186398181
"83",98543984,7.60636625751172,-0.00161799940201354,2.89666204819501,-0.00062994698838031
"84",99127022,0.752551776869972,0.00100235663920622,-0.131486115660651,0.000692644660387623
"85",99138302,0.199478425363926,-8.08838946437572e-05,-1.58260737668866,-0.000517979140973576
